movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,book_publisher,book_pages,book_rating,book_ratings_count,join_author,imdb_rating,imdb_total_votes
Toy Story,tt0114709,64658073.08970099,805109465.6222192,1995.0,toy story,,0,0.0,0,,8.3,1146884.0
Jumanji,tt0113497,140092491.69435215,566398791.1204784,1995.0,jumanji,,0,0.0,0,,7.1,404354.0
Grumpier Old Men,tt0113228,0.0,0.0,1995.0,grumpier old men,,0,0.0,0,,6.7,31161.0
Waiting to Exhale,tt0114885,34484305.64784053,175551315.19872424,1995.0,waiting to exhale,,0,0.0,0,,6.0,13134.0
Father of the Bride Part II,tt0113041,0.0,165048160.81892356,1995.0,father of the bride part ii,,0,0.0,0,,6.1,44260.0
Heat,tt0113277,129316146.17940198,403976782.5981661,1995.0,heat,,0,0.0,0,,8.3,779065.0
Sabrina,tt0114319,125005607.97342192,0.0,1995.0,sabrina,,0,0.0,0,,6.3,46511.0
Tom and Huck,tt0112302,0.0,0.0,1995.0,tom and huck,,0,0.0,0,,5.5,12272.0
Sudden Death,tt0114576,75434418.60465115,138691935.32842523,1995.0,sudden death,,0,0.0,0,,5.9,38958.0
GoldenEye,tt0113189,125005607.97342192,759072919.7376212,1995.0,goldeneye,,0,0.0,0,,7.2,281145.0
The American President,tt0112346,133626684.38538206,232509344.57493687,1995.0,the american president,,0,0.0,0,,6.9,62969.0
Dracula: Dead and Loving It,tt0112896,0.0,0.0,1995.0,dracula: dead and loving it,,0,0.0,0,,5.9,48054.0
Balto,tt0112453,0.0,24458692.087920263,1995.0,balto,,0,0.0,0,,7.1,50934.0
Nixon,tt0113987,94831840.53156145,29487885.37887043,1995.0,nixon,,0,0.0,0,,7.0,34204.0
Cutthroat Island,tt0112760,211216372.09302324,21590024.601302322,1995.0,cutthroat island,,0,0.0,0,,5.7,32494.0
Casino,tt0112641,112073993.35548171,250253414.31229234,1995.0,casino,,0,0.0,0,,8.2,605774.0
Sense and Sensibility,tt0114388,35561940.199335545,290961328.90365446,1995.0,sense and sensibility,,0,0.0,0,,7.7,134114.0
Four Rooms,tt0113101,8621076.411960132,9267657.142857142,1995.0,four rooms,,0,0.0,0,,6.7,115432.0
Ace Ventura: When Nature Calls,tt0112281,64658073.08970099,457747977.19697005,1995.0,ace ventura: when nature calls,,0,0.0,0,,6.4,245294.0
Money Train,tt0113845,129316146.17940198,76363583.1334485,1995.0,money train,,0,0.0,0,,5.7,44835.0
Get Shorty,tt0113161,65196890.3654485,248074969.60063785,1995.0,get shorty,,0,0.0,0,,6.9,95419.0
Copycat,tt0112722,0.0,0.0,1995.0,copycat,,0,0.0,0,,6.6,81854.0
Assassins,tt0112401,107763455.14950165,65311274.80728239,1995.0,assassins,,0,0.0,0,,6.3,91317.0
Powder,tt0114168,0.0,0.0,1995.0,powder,,0,0.0,0,,6.6,34243.0
Leaving Las Vegas,tt0113627,7758968.770764119,107332401.32890365,1995.0,leaving las vegas,,0,0.0,0,,7.5,142694.0
Othello,tt0114057,0.0,0.0,1995.0,othello,,0,0.0,0,,6.8,10530.0
Now and Then,tt0114011,25863229.235880397,59054373.42192691,1995.0,now and then,,0,0.0,0,,6.8,34396.0
Persuasion,tt0114117,0.0,0.0,1995.0,persuasion,,0,0.0,0,,7.6,12302.0
The City of Lost Children,tt0112682,38794843.85382059,3747174.570418604,1995.0,the city of lost children,,0,0.0,0,,7.4,74166.0
Shanghai Triad,tt0115012,0.0,0.0,1995.0,shanghai triad,,0,0.0,0,,7.1,6332.0
Dangerous Minds,tt0112792,0.0,387948438.5382059,1995.0,dangerous minds,,0,0.0,0,,6.5,60205.0
Twelve Monkeys,tt0114746,63580438.538205974,363895635.3488372,1995.0,twelve monkeys,,0,0.0,0,,8.0,671252.0
Wings of Courage,tt0114952,0.0,0.0,1996.0,wings of courage,,0,0.0,0,,6.4,812.0
Babe,tt0112431,64658073.08970099,547729119.5141528,1995.0,babe,,0,0.0,0,,6.9,140375.0
Carrington,tt0112637,0.0,0.0,1995.0,carrington,,0,0.0,0,,6.8,6101.0
Dead Man Walking,tt0112818,23707960.132890362,84839226.29687707,1995.0,dead man walking,,0,0.0,0,,7.5,106755.0
Across the Sea of Time,tt0112286,0.0,0.0,1995.0,across the sea of time,,0,0.0,0,,6.4,332.0
It Takes Two,tt0113442,0.0,0.0,1995.0,it takes two,,0,0.0,0,,6.0,27610.0
Clueless,tt0112697,25863229.235880397,0.0,1995.0,clueless,,0,0.0,0,,6.9,271331.0
"Cry, the Beloved Country",tt0112749,0.0,1458093.4299003321,1995.0,"cry, the beloved country",,0,0.0,0,,6.8,2189.0
Richard III,tt0114279,0.0,0.0,1995.0,richard iii,,0,0.0,0,,7.3,16182.0
Dead Presidents,tt0112819,21552691.02990033,0.0,1995.0,dead presidents,,0,0.0,0,,6.9,26029.0
