,movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,imdb_rating,imdb_total_votes,Publisher,Pages,Rating,RatingDistTotal,Authors
0,Jumanji,tt0113497,140092491.69435215,566398791.1204784,1995.0,jumanji,7.1,404354.0,Scholastic,48,4.07,total:28,A.L. Singer
1,Heat,tt0113277,129316146.17940198,403976782.5981661,1995.0,heat,8.3,779065.0,Philomel Books,220,3.98,total:19350,Mike Lupica
2,Heat,tt0113277,129316146.17940198,403976782.5981661,1995.0,heat,8.3,779065.0,iUniverse,256,3.45,total:73,Arthur Herzog III
3,Sense and Sensibility,tt0114388,35561940.199335545,290961328.90365446,1995.0,sense and sensibility,7.7,134114.0,"Oxford University Press, USA",446,4.07,total:917623,Jane Austen
4,Sense and Sensibility,tt0114388,35561940.199335545,290961328.90365446,1995.0,sense and sensibility,7.7,134114.0,AudioGO,0,4.07,total:917839,Jane Austen
5,Sense and Sensibility,tt0114388,35561940.199335545,290961328.90365446,1995.0,sense and sensibility,7.7,134114.0,Signet Classics,314,4.07,total:919827,Jane Austen
6,Othello,tt0114057,0.0,0.0,1995.0,othello,6.8,10530.0,Simon  Schuster,314,3.89,total:301217,William Shakespeare
7,Othello,tt0114057,0.0,0.0,1995.0,othello,6.8,10530.0,Barrons Educational Series,319,3.89,total:301924,William Shakespeare
8,Persuasion,tt0114117,0.0,0.0,1995.0,persuasion,7.6,12302.0,Oxford University Press,249,4.14,total:498446,Jane Austen
9,Persuasion,tt0114117,0.0,0.0,1995.0,persuasion,7.6,12302.0,Penguin,400,4.14,total:499902,Jane Austen
10,"Cry, the Beloved Country",tt0112749,0.0,1458093.429900332,1995.0,"cry, the beloved country",6.8,2189.0,Scribner,316,3.9,total:62698,Alan Paton
11,Richard III,tt0114279,0.0,0.0,1995.0,richard iii,7.3,16182.0,"Oxford University Press, USA",414,3.93,total:41998,William Shakespeare
12,Mortal Kombat,tt0113855,38794843.85382059,263365090.88744184,1995.0,mortal kombat,5.8,129942.0,Berkley,293,3.63,total:243,Jeff Rovin
13,Se7en,tt0114369,71123880.39867109,705445136.7449301,1995.0,se7en,8.6,1964444.0,Longman Publishing Group,80,3.85,total:68,David Fincher
14,Pocahontas,tt0114148,118539800.66445182,745895041.9167043,1995.0,pocahontas,6.7,214063.0,Doubleday Books for Young Readers,44,4.1,total:861,Ingri d'Aulaire
15,Georgia,tt0113158,0.0,0.0,1995.0,georgia,6.5,3460.0,Graphic Arts Books,144,4.0,total:3,Craig M. Tanner
16,The Postman,tt0110877,0.0,0.0,1994.0,the postman,7.8,40846.0,Miramax Books,128,3.71,total:10421,Antonio Skármeta
17,Friday,tt0113118,7543441.860465116,60812896.27790033,1995.0,friday,7.2,134200.0,Del Rey,384,3.84,total:25749,Robert A. Heinlein
18,La Haine,tt0113247,6465807.308970099,0.0,1995.0,la haine,8.1,218666.0,University of Illinois Press,128,4.24,total:34,Ginette Vincendeau
19,The Bridges of Madison County,tt0112579,51726458.4717608,392294790.8508704,1995.0,the bridges of madison county,7.6,94826.0,Grand Central Publishing,224,3.61,total:75618,Robert James Waller
20,Taxi Driver,tt0075314,7556960.573476702,164291659.55612904,1976.0,taxi driver,8.2,1001647.0,British Film Institute,79,3.91,total:163,Amy Taubin
21,The Neon Bible,tt0113952,0.0,0.0,1995.0,the neon bible,6.3,1153.0,Grove Press,162,3.71,total:5788,John Kennedy Toole
22,The Basketball Diaries,tt0112461,0.0,0.0,1995.0,the basketball diaries,7.3,129581.0,Penguin Books,224,3.95,total:29345,Jim Carroll
23,Rob Roy,tt0114287,60347534.88372093,68099846.02822591,1995.0,rob roy,6.9,48491.0,Modern Library,576,3.7,total:8828,Walter Scott
24,Belle de Jour,tt0061395,0.0,0.0,1967.0,belle de jour,7.6,52465.0,British Film Institute,96,4.24,total:38,Michael  Wood
25,Congo,tt0112715,107763455.14950164,327648537.25693023,1995.0,congo,5.3,51490.0,Avon Books,442,3.59,total:151786,Michael Crichton
26,Congo,tt0112715,107763455.14950164,327648537.25693023,1995.0,congo,5.3,51490.0,Knopf,348,3.59,total:152026,Michael Crichton
27,First Knight,tt0113071,118539800.66445182,275013275.083588,1995.0,first knight,6.0,81805.0,Pocket Books,281,3.88,total:477,Elizabeth Chadwick
28,Hackers,tt0113243,43105382.05980066,16301869.261820598,1995.0,hackers,6.2,79702.0,HarperTorch,208,3.51,total:185,David Bischoff
29,Kids,tt0113540,3232903.6544850497,15975320.129488371,1995.0,kids,7.0,90191.0,Grove Press,160,3.62,total:39,Larry  Clark
30,The Scarlet Letter,tt0114345,107763455.14950164,22376881.02176744,1995.0,the scarlet letter,5.3,17169.0,Penguin Books,279,3.4,total:678359,Nathaniel Hawthorne
31,The Scarlet Letter,tt0114345,107763455.14950164,22376881.02176744,1995.0,the scarlet letter,5.3,17169.0,W. W. Norton & Company,439,3.4,total:679902,Nathaniel Hawthorne
